ticker,cik,cik_padded,company_name
AAPL,320193,0000320193,Apple Inc.
ADBE,796343,0000796343,ADOBE INC.
ALGM,866291,0000866291,"ALLEGRO MICROSYSTEMS, INC."
ALK,766421,0000766421,"ALASKA AIR GROUP, INC."
AMAT,6951,0000006951,APPLIED MATERIALS INC /DE
AMD,2488,0000002488,ADVANCED MICRO DEVICES INC
AMZN,1018724,0001018724,AMAZON COM INC
ANET,1596532,0001596532,"Arista Networks, Inc."
ANF,1018840,0001018840,ABERCROMBIE & FITCH CO /DE/
APH,820313,0000820313,AMPHENOL CORP /DE/
ARE,1035443,0001035443,"ALEXANDRIA REAL ESTATE EQUITIES, INC."
AVGO,1730168,0001730168,Broadcom Inc.
BLBD,1589526,0001589526,Blue Bird Corp
BWXT,1486957,0001486957,"BWX Technologies, Inc."
CAKE,887596,0000887596,CHEESECAKE FACTORY INC
CMCSA,1166691,0001166691,COMCAST CORP
COST,909832,0000909832,COSTCO WHOLESALE CORP /NEW
CRM,1108524,0001108524,"Salesforce, Inc."
CRWD,1535527,0001535527,"CrowdStrike Holdings, Inc."
DDOG,1561550,0001561550,"Datadog, Inc."
DIS,1744489,0001744489,Walt Disney Co
DUOL,1562088,0001562088,"Duolingo, Inc."
ELF,1600033,0001600033,"e.l.f. Beauty, Inc."
EPR,1045450,0001045450,EPR PROPERTIES
FOUR,1794669,0001794669,"Shift4 Payments, Inc."
FCN,887936,0000887936,"FTI CONSULTING, INC"
FUBO,1484769,0001484769,FuboTV Inc.
GIS,40704,0000040704,GENERAL MILLS INC
GS,886982,0000886982,GOLDMAN SACHS GROUP INC
HD,354950,0000354950,"HOME DEPOT, INC."
ISRG,1035267,0001035267,INTUITIVE SURGICAL INC
KSPI,1985487,0001985487,Joint Stock Co Kaspi.kz
LULU,1397187,0001397187,lululemon athletica inc.
MAA,912595,0000912595,MID AMERICA APARTMENT COMMUNITIES INC.
META,1326801,0001326801,"Meta Platforms, Inc."
MRP,2017206,0002017206,"Millrose Properties, Inc."
MSFT,789019,0000789019,MICROSOFT CORP
NLCP,1854964,0001854964,"NewLake Capital Partners, Inc."
NU,1691493,0001691493,Nu Holdings Ltd.
PINS,1506293,0001506293,"PINTEREST, INC."
PLTR,1321655,0001321655,Palantir Technologies Inc.
POOL,945841,0000945841,POOL CORP
PYPL,1633917,0001633917,"PayPal Holdings, Inc."
RBLX,1315098,0001315098,Roblox Corp
SIRI,908937,0000908937,SIRIUS XM HOLDINGS INC.
SOFI,1818874,0001818874,"SoFi Technologies, Inc."
SOUN,1840856,0001840856,"SOUNDHOUND AI, INC."
SPY,884394,0000884394,SPDR S&P 500 ETF TRUST
STZ,16918,0000016918,"CONSTELLATION BRANDS, INC."
SYNA,817720,0000817720,SYNAPTICS Inc
T,732717,0000732717,AT&T INC.
TDW,98222,0000098222,TIDEWATER INC
TSN,100493,0000100493,"TYSON FOODS, INC."
TTD,1671933,0001671933,"Trade Desk, Inc."
UNH,731766,0000731766,UNITEDHEALTH GROUP INC
UUUU,1385849,0001385849,ENERGY FUELS INC
V,1403161,0001403161,VISA INC.
VICI,1705696,0001705696,VICI PROPERTIES INC.
WHR,106640,0000106640,WHIRLPOOL CORP /DE/
ZM,1585521,0001585521,"Zoom Communications, Inc."
